,...1,valid,incent_heads,incent_guess,country_guess,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score
58,58,1,3,no,the United States,2.0,3.0,US,False,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,25.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
59,59,1,3,yes,Russia,2.0,3.0,US,False,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,60.0,US,3.0,American,1.0,1,1.0,0,0,0,,,,,,,,,,1
60,60,1,3,no,China,1.0,4.0,US,False,3.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,50.0,US,3.0,American,1.0,0,0.0,0,0,0,,,,,,,,,,0
61,61,1,3,no,Brazil,2.0,3.0,US,True,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,98.0,US,3.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
62,62,1,5,yes,Japan,2.0,3.0,US,True,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,80.0,US,1.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
63,63,1,5,yes,Greece,1.0,3.0,US,False,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,75.0,US,2.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
64,64,1,3,no,the United States,1.0,5.0,US,True,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,90.0,US,2.0,American,0.0,0,0.0,0,0,1,,,,,,,,,,1
65,65,1,5,no,Turkey,1.0,5.0,US,True,4.0,4.0,3.0,2.0,3.0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,50.0,US,1.0,American,1.0,0,0.0,0,1,0,,,,,,,,,,0
66,66,1,3,no,Japan,1.0,4.0,US,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,50.0,US,1.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
67,67,1,5,yes,the United States,1.0,3.0,US,True,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,90.0,US,3.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
