,valid,incent_heads,incent_guess,guess_country,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score,year,gle_rgdpc
815,1,5,no,Reino Unido da Grã-Bretanha e Irlanda do Norte,2,4,Portugal,TRUE,3,3,4,2,2,4,3,4,3,4,3,4,4,3,3,,Portugal,2,FL_239,0,0,0,0,0,0,3,2,800,3,1,2,2,2,1,0,2011,20946.4
816,1,5,no,Republikken Korea,1,3,Denmark,TRUE,4,3,2,1,3,4,5,5,4,4,3,4,4,3,5,,Denmark,3,,1,0,0,0,1,0,1,1,8500,4,8,1,2,1,2,0,2011,32998.488
817,1,5,yes,Argentina,2,3,Denmark,TRUE,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,Denmark,3,,0,0,0,0,1,0,2,3,?,3,7,2,2,2,2,0,2011,32998.488
818,1,3,no,Argentina,2,5,UK,FALSE,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,,UK,2,,1,1,0,0,0,0,4,3,"£2,200.00",2,7,2,2,2,2,1,2011,30691.039
819,1,3,yes,Republic of Korea,2,4,UK,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,UK,3,,1,1,1,1,1,1,3,3,1200,4,3,2,1,2,1,3,2011,30691.039
820,1,3,yes,India,1,6,UK,FALSE,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,1,UK,2,,0,0,0,0,0,0,4,5,1300,3,2,2,2,2,2,0,2011,30691.039
821,1,3,no,Portugal,1,3,Portugal,TRUE,4,3,2,1,2,3,5,3,2,3,2,3,4,2,3,,Portugal,2,FL_240,0,1,1,1,1,1,1,2,1100,3,7,1,2,1,2,3,2011,20946.4
822,1,3,yes,대한민국,2,2,South Korea,TRUE,4,4,4,2,4,4,4,4,3,4,4,4,4,4,3,1,South Korea,2,,1,1,1,0,1,0,1,1,0,2,7,2,2,1,2,1,2011,29271.51
823,1,5,no,Republic of Korea,2,6,UK,TRUE,3,2,3,2,2,2,2,2,3,3,2,2,2,3,2,,UK,3,,0,0,0,0,0,0,4,2,800,3,2,2,2,2,2,0,2011,30691.039
824,1,5,yes,Portugal,1,5,India,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,India,1,,0,0,0,0,0,0,2,3,INR 95000,2,7,2,2,1,2,0,2011,3755.1399
825,1,5,no,Denmark,2,4,UK,FALSE,4,4,2,2,2,3,3,4,4,4,4,4,4,3,2,,UK,3,,1,1,0,0,1,0,2,5,5000,4,1,2,2,2,1,1,2011,30691.039
826,1,5,no,영국과 북 아일랜드의 영국,1,5,South Korea,TRUE,4,3,4,3,3,3,4,4,3,4,3,4,3,3,3,,South Korea,1,,1,0,0,0,0,0,2,2,5500000,1,7,2,2,2,1,0,2011,29271.51
